CpG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	16	21	43.24	37
2	10	0	100.00	10
3	0	0		0
4	3	6	33.33	9
5	5	4	55.56	9
6	5	0	100.00	5
7	4	5	44.44	9
8	2	1	66.67	3
9	1	2	33.33	3
10	2	0	100.00	2
11	2	2	50.00	4
12	4	4	50.00	8
13	3	2	60.00	5
14	2	2	50.00	4
15	2	1	66.67	3
16	3	4	42.86	7
17	1	2	33.33	3
18	5	11	31.25	16
19	1	7	12.50	8
20	4	1	80.00	5
21	2	2	50.00	4
22	3	1	75.00	4
23	2	3	40.00	5
24	5	3	62.50	8
25	4	3	57.14	7
26	0	0		0
27	2	1	66.67	3
28	0	0		0
29	3	2	60.00	5
30	3	1	75.00	4
31	2	3	40.00	5
32	4	5	44.44	9
33	0	4	0.00	4
34	0	1	0.00	1
35	4	2	66.67	6
36	2	2	50.00	4
37	1	3	25.00	4
38	5	1	83.33	6
39	5	2	71.43	7
40	0	2	0.00	2
41	2	0	100.00	2
42	0	2	0.00	2
43	5	3	62.50	8
44	0	2	0.00	2
45	1	2	33.33	3
46	3	3	50.00	6
47	3	1	75.00	4
48	2	0	100.00	2
49	0	4	0.00	4
50	1	1	50.00	2
51	0	3	0.00	3
52	3	1	75.00	4
53	2	5	28.57	7
54	3	6	33.33	9
55	3	1	75.00	4
56	2	0	100.00	2
57	2	2	50.00	4
58	2	2	50.00	4
59	0	4	0.00	4
60	1	2	33.33	3
61	0	0		0
62	2	3	40.00	5
63	4	1	80.00	5
64	1	0	100.00	1
65	5	0	100.00	5
66	0	3	0.00	3
67	6	2	75.00	8
68	0	1	0.00	1
69	1	2	33.33	3
70	1	1	50.00	2
71	1	1	50.00	2
72	0	0		0
73	3	0	100.00	3
74	0	0		0
75	3	1	75.00	4
76	2	0	100.00	2
77	0	1	0.00	1
78	1	1	50.00	2
79	0	0		0
80	0	0		0
81	4	1	80.00	5
82	0	1	0.00	1
83	1	0	100.00	1
84	0	1	0.00	1
85	2	2	50.00	4
86	0	0		0
87	0	1	0.00	1
88	0	1	0.00	1
89	0	1	0.00	1
90	2	1	66.67	3
91	3	0	100.00	3
92	1	1	50.00	2
93	0	1	0.00	1
94	0	2	0.00	2

CHG context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	1	8	11.11	9
2	1	41	2.38	42
3	0	27	0.00	27
4	0	11	0.00	11
5	1	13	7.14	14
6	1	13	7.14	14
7	0	11	0.00	11
8	0	19	0.00	19
9	1	8	11.11	9
10	1	22	4.35	23
11	0	13	0.00	13
12	0	9	0.00	9
13	0	7	0.00	7
14	0	30	0.00	30
15	0	18	0.00	18
16	0	7	0.00	7
17	0	30	0.00	30
18	1	12	7.69	13
19	2	26	7.14	28
20	1	20	4.76	21
21	1	26	3.70	27
22	2	14	12.50	16
23	0	13	0.00	13
24	0	12	0.00	12
25	2	7	22.22	9
26	0	11	0.00	11
27	0	22	0.00	22
28	1	20	4.76	21
29	0	15	0.00	15
30	2	21	8.70	23
31	0	13	0.00	13
32	0	16	0.00	16
33	0	10	0.00	10
34	0	21	0.00	21
35	1	27	3.57	28
36	0	11	0.00	11
37	0	18	0.00	18
38	0	21	0.00	21
39	0	4	0.00	4
40	1	12	7.69	13
41	2	19	9.52	21
42	2	8	20.00	10
43	1	11	8.33	12
44	2	13	13.33	15
45	0	17	0.00	17
46	1	15	6.25	16
47	0	28	0.00	28
48	2	15	11.76	17
49	0	20	0.00	20
50	2	18	10.00	20
51	0	14	0.00	14
52	0	8	0.00	8
53	0	6	0.00	6
54	0	13	0.00	13
55	1	24	4.00	25
56	1	14	6.67	15
57	0	7	0.00	7
58	0	14	0.00	14
59	0	16	0.00	16
60	0	7	0.00	7
61	0	10	0.00	10
62	0	5	0.00	5
63	2	11	15.38	13
64	0	11	0.00	11
65	1	5	16.67	6
66	0	14	0.00	14
67	1	7	12.50	8
68	0	7	0.00	7
69	0	13	0.00	13
70	0	13	0.00	13
71	0	6	0.00	6
72	0	10	0.00	10
73	0	17	0.00	17
74	1	4	20.00	5
75	1	8	11.11	9
76	1	5	16.67	6
77	0	7	0.00	7
78	1	9	10.00	10
79	0	8	0.00	8
80	0	11	0.00	11
81	1	16	5.88	17
82	0	10	0.00	10
83	0	6	0.00	6
84	3	23	11.54	26
85	0	8	0.00	8
86	0	2	0.00	2
87	0	7	0.00	7
88	0	9	0.00	9
89	1	9	10.00	10
90	1	6	14.29	7
91	1	4	20.00	5
92	1	3	25.00	4
93	0	10	0.00	10
94	0	14	0.00	14

CHH context (R1)
================
position	count methylated	count unmethylated	% methylation	coverage
1	7	233	2.92	240
2	4	191	2.05	195
3	0	60	0.00	60
4	3	55	5.17	58
5	2	66	2.94	68
6	4	49	7.55	53
7	1	49	2.00	50
8	1	51	1.92	52
9	2	27	6.90	29
10	0	47	0.00	47
11	2	55	3.51	57
12	1	48	2.04	49
13	4	46	8.00	50
14	1	67	1.47	68
15	1	40	2.44	41
16	2	51	3.77	53
17	2	31	6.06	33
18	3	36	7.69	39
19	2	30	6.25	32
20	0	52	0.00	52
21	2	38	5.00	40
22	2	35	5.41	37
23	1	38	2.56	39
24	3	52	5.45	55
25	3	52	5.45	55
26	2	56	3.45	58
27	0	52	0.00	52
28	3	68	4.23	71
29	2	70	2.78	72
30	1	74	1.33	75
31	2	51	3.77	53
32	1	40	2.44	41
33	4	47	7.84	51
34	0	46	0.00	46
35	2	37	5.13	39
36	1	55	1.79	56
37	6	41	12.77	47
38	1	40	2.44	41
39	1	49	2.00	50
40	0	37	0.00	37
41	0	31	0.00	31
42	2	28	6.67	30
43	1	50	1.96	51
44	1	35	2.78	36
45	0	23	0.00	23
46	1	29	3.33	30
47	0	28	0.00	28
48	1	46	2.13	47
49	2	35	5.41	37
50	4	47	7.84	51
51	3	29	9.38	32
52	1	27	3.57	28
53	1	50	1.96	51
54	1	54	1.82	55
55	1	45	2.17	46
56	0	32	0.00	32
57	1	31	3.12	32
58	2	28	6.67	30
59	1	33	2.94	34
60	0	40	0.00	40
61	1	34	2.86	35
62	1	23	4.17	24
63	4	29	12.12	33
64	1	37	2.63	38
65	0	32	0.00	32
66	0	30	0.00	30
67	2	41	4.65	43
68	0	27	0.00	27
69	1	33	2.94	34
70	3	40	6.98	43
71	1	25	3.85	26
72	0	28	0.00	28
73	3	36	7.69	39
74	1	18	5.26	19
75	1	24	4.00	25
76	4	17	19.05	21
77	0	24	0.00	24
78	1	23	4.17	24
79	2	31	6.06	33
80	2	21	8.70	23
81	0	23	0.00	23
82	0	20	0.00	20
83	4	32	11.11	36
84	0	25	0.00	25
